ID_Cliente,Nombre,Correo,Telefono,Direccion,Metodo_Pago_ID
CLI00001,María Elena Negrete,aldonzasosa@example.org,(798)429-7095x61184,"Prolongación Nicaragua 679 292, Aguascalientes, Ags.Nueva Malta, HGO 01405",MPGO04
CLI00002,Cornelio María Eugenia Jasso,cvazquez@example.org,(901)575-2275x9618,"Circuito Venezuela 515 Interior 559, Aguascalientes, Ags.Vieja Japón, BCS 06843",MPGO04
CLI00003,Susana Israel del Río Hernádez,colungaangel@example.org,261-883-7784,"Circunvalación Norte Ybarra 546 916, Aguascalientes, Ags.Vieja Italia, CAMP 35940",MPGO02
CLI00004,Patricio Benítez,valverdealvaro@example.com,1-733-157-2489x90722,"Diagonal Norte Romo 253 671, Aguascalientes, Ags.Nueva Indonesia, PUE 23474-5966",MPGO02
CLI00005,Luis Manuel Óliver Ortega Alonzo,normagarrido@example.org,(953)859-8778x1088,"Ampliación Georgia 353 Interior 656, Aguascalientes, Ags.Nueva Cabo Verde, ZAC 07700",MPGO03
CLI00006,Mateo Benavídez Salazar,gabriela33@example.net,(115)667-4543,"Boulevard Sur Almonte 183 684, Aguascalientes, Ags.San Gabriel los altos, NAY 38353",MPGO03
CLI00007,Mtro. Cristal Nájera,amanda52@example.net,842.622.3263x8439,"Avenida Norte Alba 807 Edif. 629 , Depto. 362, Aguascalientes, Ags.Vieja Honduras, DF 62109",MPGO02
CLI00008,Socorro Lucía Meraz,gustavo31@example.net,600.309.0118,"Eje vial Norte Nájera 024 Edif. 242 , Depto. 366, Aguascalientes, Ags.Nueva Sierra Leona, SIN 86194-7551",MPGO04
CLI00009,David Haro,xmelendez@example.com,1-375-317-9055x0896,"Calzada Puebla 484 Interior 122, Aguascalientes, Ags.Nueva Mauricio, DGO 61705-4950",MPGO02
CLI00010,María José Federico Arellano Villareal,quinterogenaro@example.org,1-058-229-7311x319,"Viaducto Sur Cardenas 305 Edif. 966 , Depto. 899, Aguascalientes, Ags.Nueva Côte d'Ivoire, BCS 10405-0142",MPGO02
CLI00011,Aldonza Cristian Pineda,zlerma@example.org,(883)175-4757,"Prolongación Norte Gracia 658 Edif. 852 , Depto. 386, Aguascalientes, Ags.Nueva Djibouti, YUC 38800-9300",MPGO03
CLI00012,Carmen Amador Becerra Arevalo,espartacocantu@example.com,(906)117-8739x362,"Andador Escobedo 792 Edif. 570 , Depto. 193, Aguascalientes, Ags.San Alonso de la Montaña, QRO 64202-5031",MPGO04
CLI00013,Sr(a). Hilda Archuleta,caballerojos@example.org,1-561-975-1351x0408,"Corredor Sur Muñoz 957 Interior 876, Aguascalientes, Ags.San Marisela los bajos, COL 17560-0187",MPGO01
CLI00014,Mtro. Judith Ureña,cadenaignacio@example.com,(997)985-9374x7387,"Diagonal Tayikistán 744 Edif. 502 , Depto. 815, Aguascalientes, Ags.San Conchita de la Montaña, COAH 38455-7744",MPGO01
CLI00015,Dr. Sonia Galván,odavila@example.net,993.163.4692,"Avenida Norte Mota 843 Edif. 635 , Depto. 945, Aguascalientes, Ags.San Nancy de la Montaña, BC 79314",MPGO04
CLI00016,Paulina Estefanía Santana Granado,esparta30@example.org,(416)135-4867,"Eje vial Puebla 773 Interior 460, Aguascalientes, Ags.San Maximiliano de la Montaña, COL 05533-4755",MPGO02
CLI00017,Cristobal Ramírez,kzamora@example.net,(649)462-1790x48334,"Peatonal Colombia 300 141, Aguascalientes, Ags.San José Manuél de la Montaña, TLAX 65445",MPGO02
CLI00018,Ruby Espartaco del Valle,valenzuelarodolfo@example.com,727-413-5904,"Eje vial San Marino 023 572, Aguascalientes, Ags.Vieja Pakistán, QRO 33280-1040",MPGO04
CLI00019,Carolina Camarillo Granados,obanuelos@example.com,(099)840-3694x426,"Calzada Escamilla 488 Edif. 041 , Depto. 672, Aguascalientes, Ags.Vieja Montenegro, GRO 13385",MPGO04
CLI00020,Mtro. Gilberto Rosado,roberto35@example.org,989-530-9554x43255,"Peatonal Norte Tejeda 516 Edif. 762 , Depto. 377, Aguascalientes, Ags.Vieja Haití, TAMPS 56995-7098",MPGO01
CLI00021,Dr. Salma Ceja,ade-la-o@example.org,149-090-0542,"Calle Norte Puga 717 Interior 276, Aguascalientes, Ags.Nueva Swazilandia, QRO 27221",MPGO03
CLI00022,Rolando Miguel Nevárez,alfredo87@example.com,1-218-200-1908,"Avenida Vanuatu 223 Edif. 489 , Depto. 676, Aguascalientes, Ags.San Frida de la Montaña, OAX 93053",MPGO04
CLI00023,Fidel Razo Quezada,wcalderon@example.net,(086)293-2398,"Privada Soliz 642 Edif. 183 , Depto. 241, Aguascalientes, Ags.Vieja Colombia, JAL 65540-1577",MPGO03
CLI00024,Ofelia Espinoza Portillo,andresmendoza@example.org,300-251-4977x36701,"Callejón Ponce 362 Edif. 174 , Depto. 728, Aguascalientes, Ags.San Delia los bajos, QRO 33860-3067",MPGO01
CLI00025,Sessa Aurora Barreto Candelaria,israel33@example.com,854-627-0711x77218,"Circuito Tabasco 819 Interior 603, Aguascalientes, Ags.San Fidel los altos, MOR 20630",MPGO02
CLI00026,Norma Flórez,itzel77@example.org,806-599-4989x79355,"Circuito Quesada 925 Edif. 379 , Depto. 364, Aguascalientes, Ags.San Elvira de la Montaña, GTO 48814",MPGO01
